id,loanAmnt,term,interestRate,installment,grade,subGrade,employmentTitle,employmentLength,homeOwnership,annualIncome,verificationStatus,issueDate,isDefault,purpose,postCode,regionCode,dti,delinquency_2years,ficoRangeLow,ficoRangeHigh,openAcc,pubRec,pubRecBankruptcies,revolBal,revolUtil,totalAcc,initialListStatus,applicationType,earliesCreditLine,title,policyCode,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14
0,35000,5,19.52,917.97,E,E2,320,2 years,2,110000,2,2014/7/1,1,1,137,32,17.05,0,730,734,7,0,0,24178,48.9,27,0,0,Aug-01,1,1,0,2,2,2,4,9,8,4,12,2,7,0,0,0,2
1,18000,5,18.49,461.9,D,D2,219843,5 years,0,46000,2,2012/8/1,0,0,156,18,27.83,0,700,704,13,0,0,15096,38.9,18,1,0,May-02,1723,1,,,,,10,,,,,,13,,,,
2,12000,5,16.99,298.17,D,D3,31698,8 years,0,74000,2,2015/10/1,0,0,337,14,22.77,0,675,679,11,0,0,4606,51.8,27,0,0,May-06,0,1,0,0,3,3,0,0,21,4,5,3,11,0,0,0,4
3,11000,3,7.26,340.96,A,A4,46854,10+ years,1,118000,1,2015/8/1,0,4,148,11,17.21,0,685,689,9,0,0,9948,52.6,28,1,0,May-99,4,1,6,4,6,6,4,16,4,7,21,6,9,0,0,0,1
4,3000,3,12.99,101.07,C,C2,54,,1,29000,2,2016/3/1,0,10,301,21,32.16,0,690,694,12,0,0,2942,32,27,0,0,Aug-77,11,1,1,2,7,7,2,4,9,10,15,7,12,0,0,0,4
5,11000,3,7.99,344.65,A,A5,51727,7 years,0,39000,2,2017/4/1,0,9,512,21,17.14,0,730,734,19,0,0,4047,31.1,52,1,0,Jul-98,10,1,12,1,2,2,1,1,48,2,3,2,19,0,0,0,0
6,2050,3,7.69,63.95,A,A4,180083,9 years,0,35000,0,2014/10/1,0,0,517,14,17.49,0,755,759,12,0,0,3111,8.5,23,0,0,Oct-06,0,1,0,1,3,3,7,11,3,10,18,3,12,0,0,0,3
7,11500,3,14.98,398.54,C,C3,214017,1 year,1,30000,2,2014/1/1,0,0,100,4,32.6,0,665,669,8,1,1,14021,59.7,33,1,0,Dec-94,0,1,0,4,4,4,4,16,10,5,21,4,8,0,0,0,2
8,12000,3,12.99,404.27,C,C2,188,5 years,2,60000,1,2016/5/1,1,0,792,13,19.22,0,690,694,15,0,0,27176,46,21,1,0,Apr-94,0,1,0,7,13,13,7,7,2,13,17,11,15,,0,0,6
9,6500,3,10.99,212.78,B,B4,54,,1,15300,2,2015/11/1,0,0,59,11,24.39,0,725,729,7,0,0,2936,30.6,63,0,0,Jan-93,0,1,0,4,5,5,4,21,24,6,39,5,7,0,0,0,8
10,5600,3,13.67,190.5,B,B5,46631,10+ years,1,38000,0,2013/11/1,0,4,134,8,14.21,0,665,669,13,0,0,8653,47.5,15,0,0,Nov-96,27332,1,0,6,13,13,6,7,0,13,15,13,13,0,0,0,3
11,5000,3,27.27,204.86,E,E5,140759,3 years,0,95000,0,2018/12/1,0,0,893,49,34.63,0,710,714,10,0,0,16343,80.9,38,0,0,Aug-07,0,1,0,0,2,2,0,4,18,4,16,2,10,0,0,0,3
12,19200,3,20,713.55,D,D4,139297,2 years,1,88000,0,2017/5/1,0,0,195,38,7.58,0,680,684,12,0,0,18866,35.7,14,1,0,Feb-14,0,1,0,7,8,8,7,8,2,10,11,8,12,0,0,0,8
13,24000,3,9.99,774.3,B,B3,4967,10+ years,0,150000,1,2015/8/1,0,2,134,8,5.68,0,690,694,7,0,0,4334,68.8,25,0,0,Oct-83,5,1,1,1,3,3,2,7,7,6,17,3,7,0,0,0,2
14,16000,3,7.91,500.72,A,A5,11037,2 years,1,50000,0,2016/1/1,0,4,167,8,38.95,0,710,714,9,0,0,19023,60.8,11,0,0,May-11,4,1,0,4,5,5,4,6,2,7,9,5,9,0,0,0,1
15,6000,3,10.49,194.99,B,B2,251530,2 years,0,77000,1,2017/2/1,0,2,194,38,17.27,0,660,664,16,1,1,220,3.6,49,0,0,Oct-96,5,1,0,1,4,4,2,11,14,13,32,4,15,0,0,0,0
16,10375,5,15.61,250.16,D,D1,199961,9 years,0,58000,0,2014/5/1,0,2,492,36,21.02,0,705,709,16,0,0,36609,61.1,33,0,0,Mar-02,5,1,0,3,4,4,5,6,14,13,14,4,16,0,0,0,2
17,5500,3,10.99,180.04,B,B4,81579,< 1 year,1,50000,1,2015/5/1,1,4,56,8,17.14,0,695,699,5,0,0,5463,76.9,10,1,0,Jun-95,4,1,0,3,3,3,3,5,2,4,7,3,5,0,0,0,0
18,6000,3,21,226.06,E,E2,323019,10+ years,1,40000,0,2012/12/1,1,3,140,8,28.95,3,660,664,6,0,0,6804,84,29,0,0,Aug-01,49758,1,1,2,4,4,2,13,7,4,22,4,6,0,0,1,0
19,20000,5,21,541.07,E,E1,258238,9 years,1,90000,2,2013/12/1,0,0,305,15,15.55,0,700,704,10,0,0,22859,57,38,1,0,Oct-99,38,1,0,2,6,6,2,14,10,6,27,6,10,0,0,0,6
20,15500,5,15.99,376.85,C,C5,369690,4 years,0,77000,0,2016/12/1,0,4,570,43,27.42,0,660,664,23,1,1,19752,72.4,57,0,0,May-04,4,1,0,3,11,11,5,8,33,16,22,11,23,0,0,0,7
21,3000,3,12.29,100.06,C,C1,21088,< 1 year,1,60000,2,2015/4/1,0,0,265,7,17.1,0,670,674,15,0,0,2681,4.9,29,1,0,Oct-95,0,1,2,5,5,5,11,14,11,13,18,5,15,0,0,0,7
22,13025,3,17.57,468.09,D,D4,44497,1 year,0,60000,1,2014/10/1,0,0,463,48,9.98,0,660,664,6,1,1,4330,57,31,0,0,Dec-76,0,1,1,2,3,3,4,13,6,5,19,3,6,0,0,0,1
